Category,File Path,Count
IFE,IFE/IFE1/IFE1.1_format/IFE1_Data_Schema.json,251
IFE,IFE/IFE1/IFE1.2_text/IFE1_Text_Structure.json,157
IFE,IFE/IFE2/IFE2.1_approximate/IFE2_Approximate.json,370
IFE,IFE/IFE2/IFE2.2_lower_bound/IFE2_Lower_Bound.json,124
IFE,IFE/IFE2/IFE2.3_upper_bound/IFE2_Upper_Bound.json,122
IFE,IFE/IFE3/IFE3.1_lang_de/IFE3_Lang_DE.json,111
IFE,IFE/IFE3/IFE3.2_lang_es/IFE3_Lang_ES.json,91
IFE,IFE/IFE3/IFE3.3_lang_fr/IFE3_Lang_FR.json,106
IFE,IFE/IFE3/IFE3.4_lang_ja/IFE3_Lang_JA.json,93
IFE,IFE/IFE3/IFE3.5_lang_ru/IFE3_Lang_RU.json,100
IFE,IFE/IFE3/IFE3.6_lang_zh/IFE3_Lang_ZH.json,113
IFE,IFE/IFE4/IFE4.1_forbidden_words/IFE4_Complex_Forbidden_Words.json,49
IFE,IFE/IFE4/IFE4.2_keyword_inclusion/IFE4_Complex_Keyword_Inclusion.json,114
IFE,IFE/IFE4/IFE4.3_length_mixed/IFE4_Complex_Length_Mixed.json,143
IFE,IFE/IFE4/IFE4.4_math_reasoning/IFE4_Complex_Math_Reasoning.json,300
IFE,IFE/IFE4/IFE4.5_no_comma/IFE4_Complex_No_Comma.json,66
IFE,IFE/IFE4/IFE4.6_start_end_phrase/IFE4_Complex_Start_End_Phrase.json,67
IFE,IFE/IFE4/IFE4.7_two_responses/IFE4_Complex_Two_Responses.json,65
IFE,Subtotal,2442
KE,KE/KE1/KE1.10_truthfulqa/TruthfulQA.json,471
KE,KE/KE1/KE1.1_artculture/ArtCulture.json,45
KE,KE/KE1/KE1.2_business/Business.json,33
KE,KE/KE1/KE1.3_defan/DefAn.json,238
KE,KE/KE1/KE1.4_foodcooking/FoodCooking.json,38
KE,KE/KE1/KE1.5_language/Language.json,27
KE,KE/KE1/KE1.6_lawcrimemilitary/LawCrimeMilitary.json,40
KE,KE/KE1/KE1.7_religion/Religion.json,49
KE,KE/KE1/KE1.8_science/Science.json,31
KE,KE/KE1/KE1.9_sports/Sports.json,48
KE,KE/KE2/KE2.1_ambigqa/AmbigQA.json,571
KE,KE/KE2/KE2.2_dynamicqa/DynamicQA.json,178
KE,KE/KE2/KE2.3_whoqa/WhoQA.json,489
KE,KE/KE3/KE3.1_selfbuilt/SelfBuilt.json,241
KE,KE/KE3/KE3.2_whoqa_entity/WhoQA_Entity.json,298
KE,KE/KE3/KE3.3_wic/WiC.json,196
KE,Subtotal,2993
KM,KM/KM1/KM1.1_chinese_safetyqa/KM_DSK_Chinese SafetyQA.json,188
KM,KM/KM1/KM1.2_pubmedqa/KM_DSK_PubMedQA.json,231
KM,KM/KM1/KM1.3_rag_qa_judge/KM_DSK_RAG-QA-Leaderboard.json,79
KM,KM/KM1/KM1.4_rag_qa_fill/KM_DSK_RAG-QA-Leaderboard_Fill.json,53
KM,KM/KM1/KM1.5_strategyqa/KM_DSK_StrategyQA.json,52
KM,KM/KM1/KM1.6_sciq/KM_DSK_sciq.json,254
KM,KM/KM2/KM2.10_phone/KM_FK_Phone.json,21
KM,KM/KM2/KM2.11_time/KM_FK_Time.json,22
KM,KM/KM2/KM2.12_university/KM_FK_University.json,32
KM,KM/KM2/KM2.1_awards/KM_FK_Awards.json,34
KM,KM/KM2/KM2.2_biology/KM_FK_Biology.json,98
KM,KM/KM2/KM2.3_competition/KM_FK_Competition.json,28
KM,KM/KM2/KM2.4_country/KM_FK_Country.json,23
KM,KM/KM2/KM2.5_dynasty/KM_FK_Dynasty.json,21
KM,KM/KM2/KM2.6_festival/KM_FK_Festival.json,26
KM,KM/KM2/KM2.7_llm/KM_FK_Large Language Model.json,29
KM,KM/KM2/KM2.8_literature/KM_FK_Literature.json,53
KM,KM/KM2/KM2.9_military/KM_FK_Military.json,23
KM,KM/KM3/KM3.1_numeric/KM_TK_Numeric.json,166
KM,KM/KM3/KM3.2_text/KM_TK_Text.json,109
KM,KM/KM4/KM4.1_organizational/KM_NPK_Organizational.json,248
KM,KM/KM4/KM4.2_private/KM_NPK_Private.json,288
KM,Subtotal,2078
RE,RE/RE1/RE1.1_reclor/RE1.1_reclor.json,233
RE,RE/RE1/RE1.2_logicqa/RE1.2_logicqa.json,286
RE,RE/RE1/RE1.3_ruozhi/RE1.3_ruozhi.json,117
RE,RE/RE2/RE2.1_subquestion/RE2.1_subquestion.json,333
RE,RE/RE2/RE2.2_triple/RE2.2_triple.json,117
RE,RE/RE3/RE3.1_summarize/RE3.1_summarize.json,642
RE,RE/RE3/RE3.2_simplification/RE3.2_simplification.json,257
RE,RE/RE3/RE3.3_dialogue/RE3.3_dialogue.json,218
RE,RE/RE4/RE4.1_mathematics/RE4.1_mathematics.json,559
RE,RE/RE4/RE4.2_coding/RE4.2_coding.json,233
RE,Subtotal,2995
Total,66 files,10508
